,assignee_city,assignee_state,assignee_country,assignee_key_id,patent_number,patent_title
68,Detroit,MI,US,188,11617438,Inflatable delivery cabinet
69,Grand Rapids,MI,US,440,11617444,Body support assembly and methods for the use and assembly thereof
70,Bellevue,WA,US,50563,11617450,Crib accessory
71,Brooklyn,NY,US,26055,11617452,Sleep apparatus for infants and method
72,Houston,TX,US,265766,11617454,Fixture for storage and presentation of goods
73,Amarillo,TX,US,19725,11617455,System and method for rotating an ornament for the purpose of decorating the ornament
74,Brookfield,WI,US,88364,11617456,Mounting bracket for wall mounted items
75,Ann Arbor,MI,US,67104,11617457,Modular countertop shield
76,Pomona,CA,US,70367,11617463,Shoe rack for exercise bike
77,Boca Raton,FL,US,2107,11617467,Combined air fryer and slow cooker lid
78,Incline Village,NV,US,33263,11617471,Device for cleaning an espresso machine
79,Scottsdale,AZ,US,300061,11617472,Removable ash clean out assembly
80,Needham,MA,US,2172,11617474,Lid and blade assembly for a micro puree machine
81,Fairfax,VA,US,122572,11617477,Total-use dispenser
82,Atlanta,GA,US,18906,11617478,Systems and methods for product level tracking of sheet product rolls
83,Needham,MA,US,2172,11617482,Accessories for a surface treatment apparatus having a plurality of operational states and surface treatment apparatus configured to actuate the same
84,Grand Rapids,MI,US,152,11617486,Surface cleaning apparatus with task lighting
85,Grand Rapids,MI,US,152,11617487,Autonomous floor cleaner with moisture warning
86,Bixby,OK,US,144383,11617492,Medical three-dimensional (3D) scanning and mapping system
87,Mansfield,MA,US,1305,11617493,"Thoracic imaging, distance measuring, surgical awareness, and notification system and method"
88,Maple Grove,MN,US,4582,11617496,Medical devices and related methods
89,Sunnyvale,CA,US,3106,11617499,System for determining the shape of a bendable instrument
90,Atlanta,GA,US,2629,11617501,Light cable cap and method of using the same
91,Irvine,CA,US,71268,11617503,Systems and methods for treating cancer using brachytherapy
92,South San Francisco,CA,US,237,11617504,Retinal camera with dynamic illuminator for expanding eyebox
93,Menlo Park,CA,US,5971,11617508,Eye-tracking fundus imaging system
94,New York,NY,US,307636,11617510,Method for detecting glaucoma
95,Armonk,NY,US,86,11617513,Measuring rapid eye movement for cardiorespiratory monitoring
96,San Diego,CA,US,261817,11617514,"Hands free heart-beat audio transmitter and receiver system for exercise, meditation and relaxation"
97,Los Altos,CA,US,62712,11617517,System and method for non-invasive instantaneous and continuous measurement of cardiac chamber volume
98,Madison,WI,US,5987,11617518,Method for detecting both pre-cancerous and cancerous tissues
99,Armonk,NY,US,86,11617519,Needle electrode for position-dependent injection
100,Mansfield,MA,US,1305,11617520,Depth sensing visualization modes for non-contact monitoring
101,Twin Lakes,CA,US,974,11617522,Sensor inserter with disposal lockout state
102,San Diego,CA,US,127154,11617525,Blood contaminant sequestration device with passive fluid control junction
103,Milwaukee,WI,US,835,11617528,Systems and methods for reduced lead electrocardiogram diagnosis using deep neural networks and rule-based systems
104,Westport,CT,US,36617,11617529,Apparatus and methods for removing a large-signal voltage offset from a biomedical signal
105,Westport,CT,US,36617,11617530,Apparatus and methods for removing a large-signal voltage offset from a biomedical signal
106,Minneapolis,MN,US,380,11617533,Visualization of arrhythmia detection by machine learning
107,Minneapolis,MN,US,380,11617534,Medical device and method for detecting electrical signal noise
108,Hanover,NH,US,4064,11617536,System and method to measure pain levels of patients following surgery
109,Lebanon,NH,US,38065,11617536,System and method to measure pain levels of patients following surgery
110,Oakland,CA,US,177,11617537,Fabric-based pressure sensor arrays including intersecting elongated conductive strips on opposite sides of a textile sheet
111,Santa Clara,CA,US,146403,11617537,Fabric-based pressure sensor arrays including intersecting elongated conductive strips on opposite sides of a textile sheet
112,Chelmsford,MA,US,18561,11617538,Proximity based processing systems and methods
113,Boca Raton,FL,US,269991,11617543,Catheter for monitoring pressure
114,Franklin Lakes,NJ,US,16793,11617544,Medical devices and methods thereof for determining bacterial infections in blood
115,Raleigh,NC,US,31690,11617545,Methods and systems for adaptable presentation of sensor data
116,Marlborough,MA,US,8450,11617548,Integrated multi-mode mammography/tomosynthesis x-ray system and method
117,Redwood City,CA,US,18419,11617552,Medical imaging systems and associated devices and methods
118,Wauwatosa,WI,US,835,11617553,Local enhancement for a medical image
119,Sunnyvale,CA,US,81675,11617556,Fast 3D radiography with multiple pulsed x-ray source tubes in motion
120,Sunnyvale,CA,US,81675,11617557,Fast 3D radiography using multiple pulsed X-ray sources in motion with C-arm
121,Plantation Gardens,FL,US,4622,11617559,Augmented reality systems and methods for user health analysis
122,San Diego,CA,US,10193,11617562,System and methods for nerve monitoring
123,Los Gatos,CA,US,457449,11617564,"Medical tool positioning devices, systems, and methods of use and manufacture"
124,Burlington,MA,US,7443,11617565,Methods and apparatuses for collection of ultrasound data along different elevational steering angles
125,Wauwatosa,WI,US,835,11617566,Ultrasonic imaging device and imaging method thereof
126,Malvern,PA,US,1863,11617567,Quantitative ultrasound using fundamental and harmonic signals
127,Largo,FL,US,5290,11617570,Threaded knotless anchor
128,Reno,NV,US,46061,11617571,Method and apparatus for passing suture
129,Warsaw,IN,US,11351,11617572,Soft tissue repair device and associated methods
130,Maple Grove,MN,US,4582,11617573,Devices and methods for suturing tissue
131,Mansfield,MA,US,1305,11617578,Surgical stapling instrument and associated trigger mechanisms
132,Mansfield,MA,US,1305,11617579,Ultra low profile surgical stapling instrument for tissue resections
133,Durham,CT,US,122438,11617580,Surgical stapler with removable power pack and interchangeable battery pack
134,Mansfield,MA,US,1305,11617581,Tool assembly with minimal dead space
135,Bedford,MA,US,96329,11617582,Surgical reloadable cartridge assembly
136,Bedford,MA,US,96329,11617583,Advancing a toothed rack of a surgical handle assembly
137,Mansfield,MA,US,1305,11617584,Staple line reinforcement for anvil and cartridge
138,Raynham,MA,US,1216,11617588,Graft filter with locking graft filter element and graft extractor
139,Naperville,IL,US,162355,11617590,Arthroscopic tunnel guide for rotator cuff repair
140,Warsaw,IN,US,914,11617591,Patient-specific glenoid guide with a reusable guide holder
141,Grand Rapids,MI,US,320581,11617592,Thrombectomy device
142,Mansfield,MA,US,1305,11617593,Complex wire formed devices
143,Wilmington,DE,US,47713,11617595,Grip force attenuator
144,Campbell,CA,US,88931,11617596,Arthroscopic devices and methods
145,Kalamazoo,MI,US,2106,11617598,Ultrasonic surgical tool capable of vibrating in plural modes and a drive system that induces non-linear vibrations in the tool tip
146,Mansfield,MA,US,1305,11617599,Ultrasonic surgical instrument
147,Minneapolis,MN,US,380,11617600,Apparatus for forming a passageway in tissue and associated interventional medical systems
148,Audubon,PA,US,2587,11617601,Posterior lumbar plate
149,Minneapolis,MN,US,380,11617602,"Systems, methods of use and surgical instruments employing a secure slide lock to fasten a head"
150,Warsaw,IN,US,2086,11617603,Modular surgical instrument system with ratcheting reduction mechanism
151,Raynham,MA,US,1216,11617604,Intramedullary nail assembly
152,Austin,TX,US,130115,11617605,Bone fixation system with fasteners and a removal tool for decoupling of the fasteners
153,Audubon,PA,US,2587,11617606,Proximal humeral stabilization system
154,Tucson,AZ,US,2886,11617609,"Percutaneous methods, systems, and devices for positioning a guide wire in a bone"
155,Takoma Park,MD,US,33086,11617610,System and method for micro-sized cold atmospheric plasma treatment
156,Draper,UT,US,54389,11617611,Hand-held instrument with dual zone fluid removal
157,Mansfield,MA,US,1305,11617612,Forceps with linear trigger mechanism
158,Santa Clara,CA,US,52509,11617618,Contact assessment between an ablation catheter and tissue
159,Plano,TX,US,8451,11617619,System and method for detecting application of grounding pad for ablation devices
160,Redwood City,CA,US,19541,11617620,Systems and methods for identifying anatomically relevant blood flow characteristics in a patient
161,Melville,NY,US,17086,11617621,System and method for multi-probe guidance
162,Detroit,MI,US,49362,11617622,Evaluating prosthetic heart valve placement
163,Northfield,IL,US,6496,11617625,"Systems, apparatus and methods for properly locating items"
164,Lincoln,NE,US,10665,11617626,"Robotic surgical devices, systems and related methods"
165,Redwood City,CA,US,13111,11617627,Systems and methods for optical strain sensing in medical instruments
166,Sunnyvale,CA,US,3106,11617628,Increased usable instrument life in telesurgical systems
167,Santa Rosa,CA,US,3850,11617630,Medical device packaging systems and methods
168,Newport Beach,CA,US,5808,11617632,Arch form placement for dental restoration design
169,New Providence,NJ,US,1300,11617637,Implantable prosthesis for soft tissue repair
170,New Providence,NJ,US,1300,11617638,Implantable prosthesis for soft tissue repair
171,New Providence,NJ,US,1300,11617640,Migration resistant embolic filter
172,Santa Rosa,CA,US,3850,11617641,Landing zone for endovascular procedures
173,Englewood,CO,US,12277,11617642,"Ligament fixation system, implants, devices, and methods of use"
174,Nonatum Mills,DE,US,3571,11617644,Prosthetic valved conduit
175,Okabena,MN,US,4425,11617645,Structural members for prosthetic mitral valves
176,Moran Corners,IL,US,48042,11617646,Replacement mitral valves
177,Redwood City,CA,US,6184,11617648,"Prosthetic heart valve devices, prosthetic mitral valves and associated systems and methods"
178,Santa Rosa,CA,US,3850,11617649,"Transcatheter delivery systems and delivery catheters for prosthetic mitral valve delivery, and methods for prosthetic mitral valve delivery using a retrograde approach"
179,Santa Rosa,CA,US,3850,11617651,Devices and methods for transcatheter valve loading and implantation
180,Raynham,MA,US,1216,11617654,Arcuate fixation member
181,Raynham,MA,US,1216,11617655,Expandable intervertebral implant
182,Atlanta,GA,US,78791,11617657,"Expandable, adjustable inter-body fusion devices and methods"
183,Warsaw,IN,US,2086,11617658,"Expandable inter-body device, system and method"
184,Leesburg,VA,US,9981,11617659,Tritanium Al implants and instrumentation
185,Osprey,FL,US,289900,11617660,Femoral component extractor
186,Okabena,MN,US,42269,11617663,Surgical access system and method
187,Monet,FL,US,424635,11617664,Adjustable trial for sizing a spinal implant
188,Daytona Beach,FL,US,341525,11617670,Variable radius spring assembly
189,Carlsbad,CA,US,6688,11617671,Customizable knee brace intended for patients with osteoarthritis
190,Akron,OH,US,202984,11617672,Dynamic tension brace or support
191,Hammondville,FL,US,161090,11617673,Dynamic foot plate
192,Humble,TX,US,160277,11617676,Male external catheter
193,Pleasanton,CA,US,135893,11617677,Mandibular advancement device
194,Menlo Park,CA,US,94459,11617679,Ocular delivery systems and methods
195,South San Francisco,CA,US,22958,11617680,Implantable ocular drug delivery devices
196,Denver,CO,US,2076,11617681,Ophthalmic implant system for drug delivery
197,Aliso Viejo,CA,US,78065,11617681,Ophthalmic implant system for drug delivery
198,Memphis,TN,US,3323,11617684,Wound closure devices
199,Boston,MA,US,4113,11617684,Wound closure devices
200,Great Neck,NY,US,47529,11617686,System and method for making elastic panels
201,Cincinnati,OH,US,78,11617687,Methods and apparatuses for assembling elastic laminates with different bond densities for absorbent articles
202,Northfield,IL,US,6496,11617689,Sensor for absorbent article
203,Batesville,IN,US,1050,11617698,User module for a patient support apparatus
204,Portland,OR,US,226708,11617699,Posture enhancing device
205,Cincinnati,OH,US,78,11617706,Hair conditioning composition free of fatty alcohol
206,Baton Rouge,LA,US,401951,11617710,Self-emulsifying bioactive concentrates
207,Seattle,WA,US,3600,11617711,Compositions and methods for dental care
208,Webster Groves,MO,US,194786,11617712,Abuse deterrent immediate release formulations comprising non-cellulose polysaccharides
209,Eatontown,NJ,US,144660,11617713,Liquid naloxone spray
210,Lubbock,TX,US,8912,11617715,Methods and compositions for modifying the behavior of animals
211,Durham,NC,US,294731,11617716,Dry powder formulations of epinephrine and associated methods
212,Peabody,MA,US,375824,11617722,Two-stage microparticle-based therapeutic delivery system and method
213,Whippany,NJ,US,200,11617727,Topical analgesic gel compositions
214,New York,NY,US,25674,11617728,Bupropion as a modulator of drug activity
215,Cambridge,MA,US,54687,11617731,Amino acid compositions and their use for the treatment of traumatic brain injury
216,Concord,MA,US,159126,11617735,"Purified forms of rofecoxib, methods of manufacture and use"
217,West Lafayette,IN,US,2192,11617738,"6-amino-2,4-dihydropyrano [2,3-c] pyrazoles and methods of use"
218,Menlo Park,CA,US,338108,11617739,Methods and compositions for delivery of biotin to mitochondria
219,East Lansing,MI,US,258,11617740,Chemical inhibitors of Mycobacterium tuberculosis DosRST signaling and persistence
220,Durham,NC,US,3658,11617741,Method for inhibiting growth of bacteria
221,Menands,NY,US,6512,11617741,Method for inhibiting growth of bacteria
222,Albany,NY,US,8407,11617741,Method for inhibiting growth of bacteria
223,Wayne,PA,US,91885,11617742,Methods of treating keratin hyperproliferation disorders using mTOR inhibitors
224,Lexington,MA,US,35322,11617745,Compositions and methods for generating hair cells by downregulating FOXO
225,New York,NY,US,25674,11617747,Bupropion as a modulator of drug activity
226,Durham,NC,US,137572,11617749,Ophthalmic formulations of cetirizine and methods of use
227,Boston,MA,US,23066,11617750,Reverse amide compounds as protein deacetylase inhibitors and methods of use thereof
228,South Plainfield,NJ,US,106193,11617752,Methods for increasing sepiapterin plasma exposure
229,Bethesda,MD,US,98920,11617753,Methods of treating and inhibiting Ebola virus infection
230,Rochester,NY,US,198368,11617753,Methods of treating and inhibiting Ebola virus infection
231,New York,NY,US,4570,11617755,Pharmaceutical compositions comprising meloxicam
232,New York,NY,US,4570,11617756,Pharmaceutical compositions comprising meloxicam
233,Raleigh,NC,US,251435,11617758,Emulsion formulations
234,Cambridge,MA,US,2631,11617759,Methods and compositions relating to ClbP inhibition
235,Rockville,MD,US,80973,11617760,Safe lentiviral vectors for targeted delivery of multiple therapeutic molecules
236,Oakland,CA,US,177,11617761,"Methods for treating NLRP3 inflammasome-associated diseases, and methods of identifying agents useful therefor"
237,Oakland,CA,US,177,11617766,Notch receptors with hinge domain
238,Cambridge,MA,US,491095,11617767,Armed dual CAR-T compositions and methods for cancer immunotherapy
239,Oakland,CA,US,177,11617771,Oral composition comprising lactic acid bacteria for regulating immune responses and methods related thereto
240,Charlotte,NC,US,81567,11617772,Nutritional supplements and therapeutic compositions comprising probiotics
241,Durham,NC,US,3658,11617779,Inhibition of endosomal toll-like receptor activation
242,Orlando,FL,US,550,11617781,Methods and compositions for natural killer cells
243,Palo Alto,CA,US,957,11617782,Treatment of post-bariatric hypoglycemia with exendin (9-39)
244,Columbus,OH,US,29897,11617783,Repairing a mutant human titin gene using CRISPR technology
245,Naples,FL,US,3390,11617784,Systems and methods for preparing a thrombin serum
246,Houston,TX,US,64988,11617785,Treatment of inflammatory skin disorders
247,Cleveland,OH,US,1331,11617787,Cancer immunotherapy using virus particles
248,Chapel Hill,NC,US,1321,11617788,Viral promoters and compositions and methods of use thereof
249,Tucson,AZ,US,2886,11617788,Viral promoters and compositions and methods of use thereof
250,Baton Rouge,LA,US,150324,11617788,Viral promoters and compositions and methods of use thereof
251,Spokane,WA,US,313517,11617789,Process for the preparation of allergenic extracts
252,New York,NY,US,4570,11617791,Pharmaceutical compositions comprising meloxicam
253,Темневкий пруд,NC,US,153682,11617793,Anhydrous sodium thiosulfate and formulations thereof
254,Atlanta,GA,US,58409,11617795,Pharmaceutical syrup formulation or suspension
255,Bothell,WA,US,23100,11617798,Anti-CD228 antibodies and antibody-drug conjugates
256,Washington,DC,US,12851,11617800,Nanoparticle-enhanced activity of a potassium channel-blocking peptide
257,Bethesda,MD,US,10586,11617801,RP2 and RPGR vectors for treating X-linked retinitis pigmentosa
258,Cleveland,OH,US,1331,11617802,Methods and compositions for treating a premature stop codon-mediated disorder
259,Cambridge,MA,US,16331,11617802,Methods and compositions for treating a premature stop codon-mediated disorder
260,Winston-Salem,NC,US,8340,11617804,Hyaluronic acid-based nanoparticles as biosensors for imaging-guided surgery and drug delivery vehicles and methods associated therewith
261,Norwalk,CT,US,38154,11617805,Light and disinfection system with coincident illumination range
262,Woodbury,NY,US,247220,11617807,Urinary intermittent catheter
263,Woodbury,NY,US,247220,11617808,Catheter insertion aid for use with a urinary intermittent catheter
264,Philadelphia,PA,US,523864,11617812,Sanitization system and method
265,Framingham,MA,US,140532,11617815,Compositions comprising silk fibroin particles and uses thereof
266,Newark,NJ,US,24457,11617816,System and method for a piezoelectric collagen scaffold
267,Cambridge,MA,US,308,11617817,Biomaterials for enhanced implant-host integration
268,Philadelphia,PA,US,981,11617817,Biomaterials for enhanced implant-host integration
269,Cambridge,MA,US,1989,11617820,System for blood separation by microfluidic acoustic focusing in separation channels with dimensions defined based on properties of standing waves
270,San Antonio,TX,US,598,11617821,Wound based sensor system with ambient atmosphere monitoring
271,Lawrence,MA,US,38266,11617822,Illuminated suction device
272,Franklin Lakes,NJ,US,409,11617825,Fluid path channel and adsorbent
273,Manchester,NH,US,1431,11617826,Patch-sized fluid delivery systems and methods
274,Twin Lakes,CA,US,974,11617828,Reservoir connection interface with detectable signature
275,Franklin Lakes,NJ,US,409,11617829,Infusion systems
276,Franklin Lakes,NJ,US,409,11617831,IV flow management systems and methods
277,Armonk,NY,US,86,11617832,Portal system-based bionic pancreas
278,Islamorada,FL,US,282887,11617833,Self-contained auto-injector
279,Denver,CO,US,264039,11617835,"Apparatuses, methods, and systems for delivering measured doses of medication"
280,Wilmington,NC,US,60273,11617836,Bone delivery apparatus and methods
281,Thousand Oaks,CA,US,5594,11617837,Drug delivery device with gear module and related method of assembly
282,Athens,TX,US,23126,11617839,Self-retracting mechanized syringe and methods of use
283,Auburn,AL,US,16198,11617842,Inhaler and methods of using and making the same
284,New Orleans,LA,US,202584,11617847,Methods for minimizing delayed effects of exposure to reduced oxygen partial pressure via administration of supplemental oxygen
285,Boston,MA,US,857,11617850,Delivery systems and methods for electric plasma synthesis of nitric oxide
286,Framingham,MA,US,6036,11617854,Sleep system
287,Plymouth,MN,US,5683,11617856,Catheter assembly with seal member
288,Santa Rosa,CA,US,3850,11617857,Endovascular catheter with internal balloon
289,Oxford,MA,US,20163,11617858,Ergonomic steering handle
290,Sunnyvale,CA,US,32375,11617859,Multi-directional steerable catheter
291,Okabena,MN,US,3379,11617861,Triple coil catheter support
292,Okemos,MI,US,315507,11617863,Intravenous catheter and guidewire advancement mechanism
293,Franklin Lakes,NJ,US,409,11617864,Compliant catheter adapter and compression cap
294,Eden Prairie,MN,US,33584,11617865,Suction catheter systems with designs allowing rapid clearing of clots
295,Plymouth,MN,US,23913,11617866,Image guided surgery system guide wire and methods of manufacturing and use
296,Kirkland,WA,US,76308,11617870,System and method for automatically adjusting an external ventricular drain
297,Franklin Lakes,NJ,US,409,11617871,Methods and apparatus for disinfecting and reflux prevention flush syringe assembly
298,Westlake,OH,US,2995,11617874,Luer connector
299,San Diego,CA,US,312031,11617875,Positive displacement shuttle pump heart and VAD
300,Minneapolis,MN,US,380,11617877,"Detecting pump suction, pump thrombus, and other adverse VAD motor events"
301,Minneapolis,MN,US,380,11617878,Diagnostic metric for cumulative presence of suction conditions
302,Minneapolis,MN,US,380,11617879,Minimally invasive implantable neurostimulation system
303,Cleveland,OH,US,1331,11617884,Electrically anesthetizing a peripheral nerve with on-demand electrical nerve block for chronic pain management
304,Durham,NC,US,3658,11617886,State-dependent peripheral neuromodulation to treat bladder dysfunction
305,Seattle,WA,US,146262,11617887,"Systems and methods for brain stimulation for recovery from brain injury, such as stroke"
306,Santa Clara,CA,US,197826,11617888,"Implantable electrodes with remote power delivery for treating sleep apnea, and associated systems and methods"
307,Minneapolis,MN,US,380,11617889,Rate smoothing to enhance atrial synchronous pacing in a ventricular pacemaker
308,New York,NY,US,1089,11617890,"Flexible complementary metal-oxide-semiconductor probes for chronic, large-scale neural stimulation and recording"
309,Minneapolis,MN,US,380,11617892,Toolless lead connector assembly
310,Tualatin,OR,US,20116,11617894,Power limiter in an electroconvulsive therapy device
311,Durham,NC,US,194793,11617895,Systems and methods for phototherapeutic modulation of nitric oxide
312,New York,NY,US,1089,11617898,"Apparatus, method, and system for selectively effecting and/or killing bacteria"
313,New York,NY,US,1089,11617899,"Apparatus, method, and system for selectively effecting and/or killing bacteria"
314,New York,NY,US,1089,11617900,"Apparatus, method, and system for selectively effecting and/or killing bacteria"
315,Charlottesville,VA,US,10540,11617901,Application of radiation using imaging guidance
316,Congers,NY,US,130143,11617902,Modulated radiation beam alignment for medical linear accelerator
317,Oakland,CA,US,177,11617903,System and method for respiratory gated radiotherapy
318,Chanhassen,MN,US,133076,11617904,Methods of treating tumors with pro drugs
319,Lansdale,PA,US,20193,11617907,Fire suppression nozzle
320,Oshkosh,WI,US,39588,11617908,Ultra high pressure water fire fighting system
321,Seattle,WA,US,58779,11617910,Workout systems and methods using robust door mounting
322,Concord,NC,US,249103,11617911,Yoga band and method of using said yoga band to perform a yoga pose
323,Brooklyn,NY,US,204118,11617912,Adjustable hand weight training apparatus
324,Fargo,ND,US,112621,11617916,Retractable wall mountable inclinable bench system
325,Framingham,MA,US,6036,11617917,Non-linear breath entrainment
326,Des Plaines,IL,US,206157,11617919,Shoulder motion exercise device and method of use
327,New York,NY,US,47105,11617921,Exercise machine controls
328,Acworth,GA,US,446107,11617922,Knee ascender climbing apparatus with removable tether
329,Fairhaven,MA,US,935,11617923,Golf ball dimple profile and plan shape
330,Scottsdale,AZ,US,10944,11617925,Golf club heads and methods to manufacture golf club heads
331,Fairhaven,MA,US,935,11617926,Golf club head with hosel hole cover
332,Carlsbad,CA,US,1593,11617927,Golf club head
333,St. Petersburg,FL,US,347496,11617933,Protective field screen
334,Pittsburgh,PA,US,33264,11617938,Impact-reducing dasher board assembly
335,Waterloo,ON,CA,43056,11617938,Impact-reducing dasher board assembly
336,Pittsburgh,PA,US,455809,11617938,Impact-reducing dasher board assembly
337,Detroit,MI,US,188,11617941,Environment interactive system providing augmented reality for in-vehicle infotainment and entertainment
338,University City,MO,US,494667,11617945,Game controller with scroll wheel
339,Seattle,WA,US,206,11617946,Video game streaming with dynamic range conversion
340,San Mateo,CA,US,1384,11617947,Video game overlay
341,Santa Clara,CA,US,1026,11617951,Automatically generated enhanced activity and event summaries for gameplay sessions
342,Redwood City,CA,US,7272,11617952,Emotion based music style change using deep learning
343,Cincinnati,OH,US,261923,11617953,Virtual object interaction scripts
344,Pipersville,PA,US,309039,11617958,Educational gaming software
345,San Mateo,CA,US,7143,11617959,Detection of malicious games
346,McNeil,CA,US,1235,11617960,Systems and methods for using permanent registry information to predict player churn
347,Brooklyn,NY,US,60882,11617963,Floating objects and method for maintaining said objects in contained environment
348,Madison,WI,US,284,11617969,Activated release of target material trapped in anisotropic fluids
349,Houston,TX,US,299401,11617972,Launder cover and cover system and processes to make launder cover assemblies
350,Gastonia,NC,US,109502,11617973,Filter element
351,Saginaw,MI,US,98432,11617976,Method of operating a rake system
352,Warren,MI,US,123750,11617977,Particle separator nozzles and methods
353,Okabena,MN,US,368,11617980,Air filter condition sensing
354,Austin,TX,US,322135,11617984,"System and method for conditioning syngas and capturing carbon dioxide from conditioned syngas for production of power, chemicals, and other value added products"
355,Burlington,MA,US,21246,11617988,Single-pass filtration systems and processes
356,Chicago,IL,US,4932,11617992,High temperature steam separation membrane
357,Springfield,IL,US,13186,11617994,Gas infuser for liquids
358,Livermore,CA,US,2750,11617998,Metal boride aerogels
359,Bedford,MA,US,52156,11617999,Edge chip
360,Dearborn,MI,US,217,11618008,Precious group metal on pyrochlore-phase ceria zirconia with superior oxygen storage capacity and TWC performance
