city,count
Monticello,1
Syracuse,1
Tinton Falls,1
Mamaroneck,1
Burlingame,1
Corte Madera,1
Collierville,1
Annandale,1
Mesa,1
Bellaire,1
Sharpsburg,1
Sykesville,1
Tuskegee,1
Norman,1
Eindhoven,1
Milford,1
Monta Vista,1
Geneseo,1
Jessup,1
Mentor,1
Amarillo,1
Wallingford,1
Fulton,1
Mountain Top,1
Summit,1
Talbert,1
Carmel,1
Bellingham,1
Plainville,1
Oosterdijk,1
Incline Village,1
Mount Laurel,1
Bryan,1
Reightown,1
Hilliard,1
Ashland,1
Mishawaka,1
Hobcaw Point,1
Beijing,1
Bixby,1
Cold Spring Harbor,1
McCall,1
Arvada,1
Wantage,1
Candler,1
Pampa,1
Avondale,1
Lake Oswego,1
Conyers,1
El Segundo,1
Deptford,1
Traverse City,1
Superior,1
Sussex,1
Brooke Lane,1
Palm Desert,1
Leander,1
Poway,1
New Bremen,1
Perham,1
Kent,1
Rutherford,1
North Canton,1
Jefferson,1
White River Junction,1
La Fox,1
Alvordton,1
Lapeer,1
Monterey Park,1
West Springfield,1
Trumbull,1
Pomona,1
Naples,1
Redding,1
Starkville,1
Appleton,1
Greene,1
Moraga,1
Jonesboro,1
Visalia,1
Carrollton,1
Slater,1
Golden Valley,1
Buford,1
Piscataway,1
Gwangju,1
Ridgefield Park,1
Bedminster,1
Belmont,1
Duarte,1
Horsham,1
Duncan,1
Seoul,1
Novato,1
Centreville,1
Attleboro,1
Colwich,1
Milton,1
Glassboro,1
Palisades Park,1
Brea,1
Boyertown,1
Fort Myers Beach,1
Blue Bell,1
Churubusco,1
Mitchell,1
Roslyn Heights,1
Kenai,1
Hancock,1
Rancho Cordova,1
Alden Manor,1
Bolinas,1
Williamsburg,1
Valhalla,1
Morgantown,1
Plantsville,1
Castle Rock,1
Grosse Pointe,1
Stoughton,1
Teaneck,1
Hendersonville,1
Morris,1
Hawk Point,1
Winnetka,1
Delray Beach,1
Lyndonville,1
Santa Cruz,1
Via Pasubio,1
Kirtland,1
San Dimas,1
Upton,1
Skokie,1
Leonidas,1
Miamisburg,1
Berkeley Heights,1
Ferndale,1
Pico Rivera,1
Rolling Meadows,1
Dunwoody,1
Colchester,1
White Plains,1
San Juan,1
Roseville,1
Palmyra,1
Cumming,1
Oceanside,1
Hilshire Village,1
Wauconda,1
Thorofare,1
Aston Mills,1
Cantril,1
Concordville,1
Oxnard,1
Denison,1
Rancho Santa Fe,1
Palm Harbor,1
Odessa,1
Millsap,1
Blaine,1
Kettering,1
Beaver Dam,1
Westbrook,1
Carlisle,1
Glencoe,1
Camarillo,1
Fort Detrick,1
Pineville,1
Maddux Spring,1
Bellefonte,1
Calhoun,1
Clemmons,1
Mead,1
Rome,1
Charleston,1
Paragould,1
West Melbourne,1
Satellite Beach,1
Severance,1
Anoka,1
Smyrna,1
Stuart,1
Miramar Beach,1
Lakeville,1
Stone Mountain,1
Asheboro,1
Maryland Heights,1
Plattsburgh,1
Westfield,1
Bernardsville,1
McNair,1
Loveland,1
Mooresville,1
Red Wing,1
Lindon,1
Simpson,1
Manhattan Beach,1
Saddle Brook,1
Bergenfield,1
Темневкий пруд,1
Midvale,1
Spirit Lake,1
Laguna Niguel,1
Romeoville,1
Glenwood,1
Islamorada,1
Intercession City,1
Red Oak,1
Fort Washington,1
Talcville,1
Old Bridge,1
Sunrise,1
Okemos,1
New Port Richey,1
Swedetown Village,1
Tualatin,1
Congers,1
Vestal,1
Escondido,1
Greenland,1
Exton,1
Monroe,1
Doraville,1
Holly Springs,1
Belgrade,1
Eagan,1
West Jordan,1
Caledonia,1
Union City,1
Wayne,1
Zug,1
Arroyo Grande,1
South Plainfield,1
Weston,1
Ponte Vedra,1
Del Mar,1
Asheville,1
Rancho Santa Margarita,1
Snellville,1
Utica,1
Brisbane,1
Skillman,1
Toronto,1
Tacoma,1
Melvindale,1
Hales Corners,1
Winfield,1
Arcadia,1
Locust Grove,1
Chanhassen,1
Lansdale,1
Golden,1
Bensalem,1
Fountain Inn,1
North Charleston,1
Seneca,1
Ridgewood,1
Greenville,1
Wellington,1
Park Pointe,1
Nashville,1
Romeo,1
Hillsborough,1
Portola Valley,1
Merrick,1
Sparks,1
Brighton,1
Clifton,1
Paramount,1
Mequon,1
Muskegon,1
Harleysville,1
Westchester,1
West Columbia,1
Boiceville,1
Kennesaw,1
Hoboken,1
Sterling Heights,1
Town of East Hartford,1
Amherst,1
Bridgeport,1
Sylvia Park,1
Des Plaines,1
Sanford,1
Acworth,1
Blue Ash,1
Waterloo,1
Sterling,1
University City,1
Liberty Lake,1
Pipersville,1
Elmsford,1
Monterey,1
Fort Pierce,1
Fairburn,1
Wheaton,1
Batavia,1
Johnson City,1
Brentwood,1
Thornton,1
Lynchburg,1
Luling,1
Derry,1
Havertown,1
Ayer,1
Grafton,1
West Hollywood,1
